NO,目的派生検索,,NTL,名声,Pt,総名声,総Pt,Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1087,スターガオガイガー,│││├スターガオガイガー,-4,100,"78,030",251,"136,860",強襲,ジオン公国軍兵士,ガイ,ガイガー,ガオガイガー,スターガオガイガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,ガオファー,││││├ガオファー,-3,30,"9,000",281,"145,860",―,ジオン公国軍兵士,ガイ,ガイガー,ガオガイガー,スターガオガイガー,ガオファー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-4,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,ガオファイガー,│││││└ガオファイガー,-5,100,"54,030",381,"199,890",強襲,ジオン公国軍兵士,ガイ,ガイガー,ガオガイガー,スターガオガイガー,ガオファー,ガオファイガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-4,-3,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,ジェネシックガオガイガー,│││││　└ジェネシックガオガイガー,-6,100,"90,030",481,"289,920",強襲,ジオン公国軍兵士,ガイ,ガイガー,ガオガイガー,スターガオガイガー,ガオファー,ガオファイガー,ジェネシックガオガイガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-4,-3,-5,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7000,ファイナル・ガオガイガー,│││││　　└ファイナル・ガオガイガー,-7,"2,000","234,000","2,481","523,920",強襲,ジオン公国軍兵士,ガイ,ガイガー,ガオガイガー,スターガオガイガー,ガオファー,ガオファイガー,ジェネシックガオガイガー,ファイナル・ガオガイガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-4,-3,-5,-6,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,ジェイダー,││││└ジェイダー,-5,50,"48,000",301,"184,860",―,ジオン公国軍兵士,ガイ,ガイガー,ガオガイガー,スターガオガイガー,ジェイダー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-4,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,ジェイアーク,││││　└ジェイアーク,-5,100,"72,000",401,"256,860",―,ジオン公国軍兵士,ガイ,ガイガー,ガオガイガー,スターガオガイガー,ジェイダー,ジェイアーク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-4,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7081,覚醒人1号,│││└覚醒人1号,0,60,"15,030",211,"73,860",―,ジオン公国軍兵士,ガイ,ガイガー,ガオガイガー,覚醒人1号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7082,覚醒人V2,│││　└覚醒人V2,0,90,"18,030",301,"91,890",―,ジオン公国軍兵士,ガイ,ガイガー,ガオガイガー,覚醒人1号,覚醒人V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,氷竜,││├氷竜,-3,100,"21,010",151,"31,810",―,ジオン公国軍兵士,ガイ,ガイガー,氷竜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,炎竜,│││└炎竜,-3,100,"21,010",251,"52,820",―,ジオン公国軍兵士,ガイ,ガイガー,氷竜,炎竜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4197,レプリガイガー,││├レプリガイガー,-3,20,"13,500",71,"24,300",―,ジオン公国軍兵士,ガイ,ガイガー,レプリガイガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8073,レプリギャレオン,│││└レプリギャレオン,-3,80,"24,010",151,"48,310",―,ジオン公国軍兵士,ガイ,ガイガー,レプリガイガー,レプリギャレオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4198,レプリスターガオガイガー,│││　└レプリスターガオガイガー,-4,300,"54,000",451,"102,310",―,ジオン公国軍兵士,ガイ,ガイガー,レプリガイガー,レプリギャレオン,レプリスターガオガイガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-3,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4202,ピア・デケム・ピット,│││　　└ピア・デケム・ピット,-7,300,"90,000",751,"192,310",―,ジオン公国軍兵士,ガイ,ガイガー,レプリガイガー,レプリギャレオン,レプリスターガオガイガー,ピア・デケム・ピット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-3,-4,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4199,パルパレーパ・プラス,││├パルパレーパ・プラス,-5,280,"60,000",331,"70,800",―,ジオン公国軍兵士,ガイ,ガイガー,パルパレーパ・プラス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4201,パルパレーパ・プラジュナー,│││└パルパレーパ・プラジュナー,-7,300,"69,000",631,"139,800",―,ジオン公国軍兵士,ガイ,ガイガー,パルパレーパ・プラス,パルパレーパ・プラジュナー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-5,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,ポルコート,││├ポルコート,-3,10,"18,000",61,"28,800",―,ジオン公国軍兵士,ガイ,ガイガー,ポルコート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,マイクサウンダース13世,││├マイクサウンダース13世,0,130,"24,000",181,"34,800",―,ジオン公国軍兵士,ガイ,ガイガー,マイクサウンダース13世,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,風龍,││├風龍,-3,100,"22,200",151,"33,000",―,ジオン公国軍兵士,ガイ,ガイガー,風龍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,雷龍,│││└雷龍,-3,1,"22,200",152,"55,200",―,ジオン公国軍兵士,ガイ,ガイガー,風龍,雷龍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,ボルフォッグ,││├ボルフォッグ,-3,100,"22,200",151,"33,000",―,ジオン公国軍兵士,ガイ,ガイガー,ボルフォッグ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,ビッグボルフォッグ,│││└ビッグボルフォッグ,-3,100,"42,600",251,"75,600",―,ジオン公国軍兵士,ガイ,ガイガー,ボルフォッグ,ビッグボルフォッグ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,ビッグサイトロン,││└ビッグサイトロン,0,150,"60,000",201,"70,800",―,ジオン公国軍兵士,ガイ,ガイガー,ビッグサイトロン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2764,ルネ,│└ルネ,-3,20,"3,000",51,"6,300",―,ジオン公国軍兵士,ガイ,ルネ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,光竜,│　└光竜,-3,100,"22,200",151,"28,500",―,ジオン公国軍兵士,ガイ,ルネ,光竜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,闇竜,│　　└闇竜,-3,1,"22,200",152,"50,700",―,ジオン公国軍兵士,ガイ,ルネ,光竜,闇竜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,超人ロック,├超人ロック,10,500,"120,000",501,"120,300",―,ジオン公国軍兵士,超人ロック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2927,ロム,├ロム,-2,10,"30,000",11,"30,300",―,ジオン公国軍兵士,ロム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,ケンリュウ,│├ケンリュウ,-2,100,"30,030",111,"60,330",―,ジオン公国軍兵士,ロム,ケンリュウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,バイカンフー,││└バイカンフー,-3,200,"45,030",311,"105,360",―,ジオン公国軍兵士,ロム,ケンリュウ,バイカンフー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,-2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4113,レ・ディウス,│├レ・ディウス,-5,100,"42,000",111,"72,300",―,ジオン公国軍兵士,ロム,レ・ディウス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2109,ライジンオー,│└ライジンオー,0,180,"45,000",191,"75,300",―,ジオン公国軍兵士,ロム,ライジンオー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,ゴッドライジンオー,│　├ゴッドライジンオー,0,50,"72,000",241,"147,300",―,ジオン公国軍兵士,ロム,ライジンオー,ゴッドライジンオー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,ガンバルガー,│　├ガンバルガー,0,10,"22,500",201,"97,800",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3907,グレートガンバルガー,│　│├グレートガンバルガー,0,300,"103,500",501,"201,300",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,グレートガンバルガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,ゴウザウラー,│　│├ゴウザウラー,0,20,"45,000",221,"142,800",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,ゴウザウラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6365,マグナザウラー,│　││├マグナザウラー,0,100,"12,600",321,"155,400",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,ゴウザウラー,マグナザウラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6953,ゲキリュウガー,│　││├ゲキリュウガー,-5,100,"30,030",321,"172,830",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,ゴウザウラー,ゲキリュウガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7941,リクオー,│　││└リクオー,0,80,"20,000",301,"162,800",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,ゴウザウラー,リクオー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7942,クウオー,│　││　└クウオー,0,80,"20,000",381,"182,800",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,ゴウザウラー,リクオー,クウオー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7943,テイオー,│　││　　└テイオー,0,80,"20,000",461,"202,800",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,ゴウザウラー,リクオー,クウオー,テイオー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,ダイテイオー,│　││　　　└ダイテイオー,0,180,"60,000",641,"262,800",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,ゴウザウラー,リクオー,クウオー,テイオー,ダイテイオー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8619,ダイリュウオー,│　││　　　　├ダイリュウオー,0,180,"60,000",821,"322,800",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,ゴウザウラー,リクオー,クウオー,テイオー,ダイテイオー,ダイリュウオー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4684,パーフェクトダイテイオー,│　││　　　　├パーフェクトダイテイオー,0,1,"73,500",642,"336,300",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,ゴウザウラー,リクオー,クウオー,テイオー,ダイテイオー,パーフェクトダイテイオー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,ゴクラクルーザー,│　││　　　　└ゴクラクルーザー,0,90,"78,000",731,"340,800",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,ゴウザウラー,リクオー,クウオー,テイオー,ダイテイオー,ゴクラクルーザー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6953,ゲキリュウガー,│　│└ゲキリュウガー,-5,100,"30,030",301,"127,830",―,ジオン公国軍兵士,ロム,ライジンオー,ガンバルガー,ゲキリュウガー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,バクリュウドラゴン,│　├バクリュウドラゴン,0,40,"18,000",231,"93,300",―,ジオン公国軍兵士,ロム,ライジンオー,バクリュウドラゴン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8482,ダイミダラー超型・孝一,│　└ダイミダラー超型・孝一,5,350,"30,010",541,"105,310",―,ジオン公国軍兵士,ロム,ライジンオー,ダイミダラー超型・孝一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6522,ジェノス,├ジェノス,-7,"5,000","186,000","5,001","186,300",―,ジオン公国軍兵士,ジェノス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6054,ラグナ,├ラグナ,0,300,"120,000",301,"120,300",―,ジオン公国軍兵士,ラグナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6168,ジン,│├ジン,0,1,"120,000",302,"240,300",―,ジオン公国軍兵士,ラグナ,ジン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394,マコト,│├マコト,0,1,"120,000",302,"240,300",―,ジオン公国軍兵士,ラグナ,マコト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6325,タオカカ,│├タオカカ,0,1,"120,000",302,"240,300",―,ジオン公国軍兵士,ラグナ,タオカカ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6370,イザナミ,│├イザナミ,-7,"1,373","822,900","1,674","943,200",―,ジオン公国軍兵士,ラグナ,イザナミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6099,ハザマ,│└ハザマ,0,1,"120,000",302,"240,300",―,ジオン公国軍兵士,ラグナ,ハザマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5342,アイアンマン,├アイアンマン,0,200,"780,000",201,"780,300",―,ジオン公国軍兵士,アイアンマン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4408,ヒーローマン,│├ヒーローマン,0,80,"22,500",281,"802,800",―,ジオン公国軍兵士,アイアンマン,ヒーローマン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7523,ソー,│└ソー,10,"5,000","3,690,010","5,201","4,470,310",―,ジオン公国軍兵士,アイアンマン,ソー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5444,キャシャーン,├キャシャーン,-5,300,"180,000",301,"180,300",―,ジオン公国軍兵士,キャシャーン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,タイムガイコッツ,│└タイムガイコッツ,0,1,30,2,330,―,ジオン公国軍兵士,タイムガイコッツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4106,G4号,│　├G4号,0,10,"6,150",12,"6,480",―,ジオン公国軍兵士,タイムガイコッツ,G4号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4107,G3号,│　│└G3号,0,10,"6,150",22,"12,630",―,ジオン公国軍兵士,タイムガイコッツ,G4号,G3号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4108,G2号,│　│　└G2号,0,10,"6,150",32,"18,780",―,ジオン公国軍兵士,タイムガイコッツ,G4号,G3号,G2号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4109,G1号,│　│　　└G1号,0,10,"6,150",42,"24,930",―,ジオン公国軍兵士,タイムガイコッツ,G4号,G3号,G2号,G1号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,ゴッドフェニックス,│　│　　　├ゴッドフェニックス,0,180,"60,010",222,"84,940",―,ジオン公国軍兵士,タイムガイコッツ,G4号,G3号,G2号,G1号,ゴッドフェニックス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,ニューゴッドフェニックス,│　│　　　│├ニューゴッドフェニックス,0,30,"72,010",252,"156,950",―,ジオン公国軍兵士,タイムガイコッツ,G4号,G3号,G2号,G1号,ゴッドフェニックス,ニューゴッドフェニックス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737,ガッチャスパルタン,│　│　　　││└ガッチャスパルタン,0,50,"84,010",302,"240,960",―,ジオン公国軍兵士,タイムガイコッツ,G4号,G3号,G2号,G1号,ゴッドフェニックス,ニューゴッドフェニックス,ガッチャスパルタン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,ゴールドライタン(ライター),│　│　　　│└ゴールドライタン,0,90,"22,800",312,"107,740",―,ジオン公国軍兵士,タイムガイコッツ,G4号,G3号,G2号,G1号,ゴッドフェニックス,ゴールドライタン(ライター),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4096,レッドインパルス,│　│　　　└レッドインパルス,0,5,"12,000",47,"36,930",―,ジオン公国軍兵士,タイムガイコッツ,G4号,G3号,G2号,G1号,レッドインパルス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3689,ゴーダム,│　├ゴーダム,0,200,"18,000",202,"18,330",強襲,ジオン公国軍兵士,タイムガイコッツ,ゴーダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380,グラタン,│　├グラタン,0,5,"1,350",7,"1,680",―,ジオン公国軍兵士,タイムガイコッツ,グラタン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6940,ガーフィッシュ,│　│├ガーフィッシュ,0,100,"13,530",107,"15,210",―,ジオン公国軍兵士,タイムガイコッツ,グラタン,ガーフィッシュ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6941,ガーフィッシュII,│　││└ガーフィッシュII,0,50,"18,030",157,"33,240",―,ジオン公国軍兵士,タイムガイコッツ,グラタン,ガーフィッシュ,ガーフィッシュII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,ノーチラス号,│　│├ノーチラス号,0,150,"30,000",157,"31,680",―,ジオン公国軍兵士,タイムガイコッツ,グラタン,ノーチラス号,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
