No,機体名,HP,装甲,運動,索敵,EN,重量,直感,操縦,近,中,遠,NT,コスト,名声,POINT,地上,水中,宇宙,空中,種類1,種類1',種類2,種類2',種類3,種類3',種類4,種類4',種類5,種類5',種類6,種類6',|,特殊能力1,特殊能力2,特殊能力3,特殊能力4,特殊能力5,特殊能力6,特殊能力7,特殊能力8,特殊能力9,①派生元,①隠し武装,①属性,①威力,①弾数,①EN,"①射程
from","①射程
to",①HIT,①特殊効果,②派生元,②隠し武装,②属性,②威力,②弾数,②EN,"②射程
from","②射程
to",②HIT,②特殊効果,③派生元,③隠し武装,③属性,③威力,③弾数,③EN,"③射程
from","③射程
to",③HIT,③特殊効果,④派生元,④隠し武装,④属性,④威力,④弾数,④EN,"④射程
from","④射程
to",④HIT,④特殊効果,,,,,,,,,,
4635,ザムジード(精霊憑依),600,93,74,75,520,28,460,460,400,270,270,7,58,200,115200,5,0,2,1,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4636,ドズル専用リック・ドム,300,28,56,48,326,18,0,0,90,90,0,0,20,40,7770,-3,-4,3,-5,1,MS系,9,ジオン・ネオジオン軍・ザフト,c,ドム系,e,専用機,D,MSV（モビルスーツバリエーション）,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4637,白露改,300,49,45,39,400,118,90,185,90,155,150,0,23,100,19530,0,3,-9,-5,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4638,矢矧,310,33,38,45,600,174,130,120,85,125,65,0,29,1,37530,0,3,-9,-5,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4639,比叡改二,830,95,36,52,800,214,315,0,120,0,65,0,58,200,133530,0,3,-9,-3,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4640,ホワイトディンゴ仕様量産型ガンキャノン,330,34,50,68,320,18,0,0,0,80,80,0,32,50,7470,2,-3,2,-4,1,MS系,8,連邦軍・ティターンズ・地球連合,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4641,ハーマン専用61式戦車5型,185,20,26,62,200,20,0,30,0,30,30,0,19,5,3360,4,-5,-5,-4,8,連邦軍・ティターンズ・地球連合,e,専用機,q,車輌・戦闘機系,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4642,ガッデス(精霊憑依),540,85,90,85,570,28,370,370,300,270,270,7,54,200,108000,1,5,0,1,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4643,グランヴェール(精霊憑依),530,70,115,70,620,28,370,390,300,270,270,7,56,200,108000,4,-3,3,1,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4644,サイバスター(精霊憑依),580,78,135,80,570,28,390,390,370,370,270,9,57,200,120000,2,-2,2,6,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4645,ゼルヴォイド(精霊憑依),700,100,120,80,500,28,420,420,400,400,400,7,68,200,144000,2,-2,2,5,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4646,ヴァルヴレイヴI,440,42,100,82,380,19,270,250,200,230,180,-3,50,220,33900,1,-3,3,3,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4647,ヴァルヴレイヴIII,440,42,95,82,380,27,270,250,230,200,180,-3,50,1,30900,1,-3,3,3,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4648,ゲシュテルベン,325,32,82,90,400,21,300,300,250,235,235,0,44,60,19200,3,0,4,1,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4649,黒い稲妻旅団仕様バーグラリードッグ,250,14,75,88,300,10,200,200,200,200,200,0,34,10,1500,5,-5,-5,-5,4,その他,o,ボトムズシリーズ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4650,ライバード,280,24,72,48,400,10,180,180,160,140,100,0,32,50,5700,4,-4,-2,0,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4651,村雨改,300,49,45,39,400,118,90,165,105,155,60,0,23,1,19530,0,3,-9,-5,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4652,トーマ仕様ディバイソン,520,55,70,80,480,56,175,215,155,190,190,0,66,110,30000,5,-3,-6,-1,4,その他,l,ゾイドシリーズ,n,スパロボ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4653,神機使い男,60,10,56,60,300,10,200,200,280,200,200,1,24,150,60000,4,-6,-6,-4,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4654,神機使い女,60,10,56,60,300,10,200,200,200,200,280,1,24,150,60000,4,-6,-6,4,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4655,ジオン公国軍兵士,20,2,13,40,100,5,0,0,0,0,0,0,10,1,300,1,-4,-5,1,9,ジオン・ネオジオン軍・ザフト,A,機動戦士ガンダム,B,ポケットの中の戦争,C,第08MS小隊,f,人系,F,量産機,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4656,地球連邦軍兵士,20,2,15,40,100,5,0,0,0,0,0,0,10,1,300,1,-4,-6,-4,8,連邦軍・ティターンズ・地球連合,A,機動戦士ガンダム,B,ポケットの中の戦争,C,第08MS小隊,f,人系,F,量産機,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4657,カノン,80,12,52,60,300,10,280,280,0,240,280,0,24,548,121644,4,-6,-6,-4,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4658,ランスロット・グレイル,345,37,92,50,400,15,250,300,320,250,200,0,36,50,25500,3,-4,-4,-5,4,その他,ｱ,コードギアス,e,専用機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4659,木曾改二,440,65,45,49,500,162,60,120,65,95,50,0,33,200,43530,0,3,-9,-4,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4660,ルチアナ,170,18,62,75,200,8,130,140,300,350,300,8,20,1,56400,1,-4,-5,5,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4661,マルチナ,160,14,70,50,200,8,130,140,300,350,300,8,20,1,56400,1,-4,-5,5,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4662,フェルナンディア,200,16,65,65,230,8,130,140,300,350,300,8,21,1,60000,1,-4,-4,5,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4663,シャクヤク,930,52,30,90,930,200,270,270,200,200,200,0,102,100,132000,-6,0,2,1,3,艦船系,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,ガンヘッド,420,50,60,80,350,10,280,280,180,180,180,0,30,50,18010,4,-6,-6,-5,n,スパロボ,q,車輌・戦闘機系,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,ガンヘッド(TM),420,50,50,80,350,10,280,280,180,180,180,0,30,50,18010,4,-6,-6,-5,n,スパロボ,q,車輌・戦闘機系,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,ゲッターキリク,700,63,105,60,950,80,300,300,270,280,260,0,70,50,90000,4,-5,0,0,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4667,古代ゲッター2,840,61,90,60,990,50,400,400,370,380,360,0,87,60,96000,6,-5,0,-5,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4668,ガンノウズ,70,11,31,40,250,10,300,300,300,300,300,0,16,100,12000,4,-2,0,-2,4,その他,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4669,サンジューロ,90,9,37,30,250,10,300,300,300,300,300,0,16,100,12000,4,-2,0,-2,4,その他,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670,アリサ,75,16,72,65,300,10,300,300,250,250,200,3,25,200,139500,4,-6,-6,-5,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,クリスマス仕様那珂,260,29,38,39,500,162,70,120,65,120,60,0,23,1,30030,0,3,-9,-4,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,まるゆ,60,9,9,9,150,41,5,0,0,0,35,0,4,1,7530,0,5,-9,-5,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4673,あきつ丸,380,33,15,13,500,152,30,0,65,0,50,0,24,1,30030,0,4,-9,-5,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4674,あきつ丸改,400,43,17,59,500,152,160,0,75,0,85,0,29,1,42030,0,4,-9,-5,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4675,伊401,200,24,13,45,700,122,10,195,0,0,100,0,26,200,19530,0,6,-9,-5,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4676,大鳳,670,79,33,74,500,260,305,0,220,0,10,0,43,300,79530,0,3,-9,-3,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4677,大鳳改,700,84,34,77,500,260,318,0,295,0,20,0,44,200,97530,0,3,-9,-3,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4678,イオナ,700,60,25,120,1400,122,500,550,200,0,250,-5,82,500,456000,-5,6,-9,-5,3,艦船系,f,人系,ｷ,艦これ,n,スパロボ,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4679,タカオ,770,90,20,140,800,203,600,300,250,0,100,-5,66,500,570000,-5,3,-9,-4,3,艦船系,f,人系,ｷ,艦これ,n,スパロボ,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4680,ハルナ,1020,110,18,160,800,214,675,0,300,0,150,-5,77,500,582000,-5,3,-9,-3,3,艦船系,f,人系,ｷ,艦これ,n,スパロボ,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4681,静夏,180,20,55,50,225,8,130,140,200,250,200,8,23,1,55500,1,-4,-5,5,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4682,ハイデマリー,180,18,73,53,225,8,140,150,300,350,300,8,25,1,90000,1,-4,-5,5,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4683,ニッカ,210,14,62,60,225,8,140,150,300,350,300,8,25,1,90000,1,-4,-5,5,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4684,パーフェクトダイテイオー,700,50,73,65,700,50,300,300,250,250,200,0,68,1,73500,2,-4,1,3,4,その他,w,勇者・エルドランシリーズ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4685,YF-29 デュランダル(支援),450,46,127,115,480,22,220,250,220,220,220,0,60,150,48000,-2,-2,6,6,v,マクロスシリーズ,q,車輌・戦闘機系,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4686,YF-29 デュランダル(G)(汎用),450,42,116,115,480,22,220,250,220,220,220,0,60,150,48000,1,-2,1,-5,4,その他,v,マクロスシリーズ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4687,YF-29 デュランダル(B)(強襲),450,51,107,95,480,22,220,250,220,220,220,0,60,150,48000,5,-5,3,-2,4,その他,v,マクロスシリーズ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4688,プロトセイバー+11,435,46,92,80,534,18,300,350,200,250,230,-5,50,100,27330,2,-4,3,2,1,MS系,6,ガンダム系,9,ジオン・ネオジオン軍・ザフト,r,機動戦士ガンダムSEED ASTRAY、MSV,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4689,プロトセイバー+11(MA),435,46,97,80,534,18,300,350,200,250,230,-5,50,100,27330,-6,-5,6,5,2,MA系,6,ガンダム系,9,ジオン・ネオジオン軍・ザフト,r,機動戦士ガンダムSEED ASTRAY、MSV,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4690,EW仕様トールギス,448,40,93,75,551,17,250,240,230,240,210,0,39,50,14910,1,-4,1,3,1,MS系,W,機動新世紀ガンダムW,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4691,ダイオン,345,34,68,42,380,28,180,180,180,120,100,1,25,10,8400,2,-5,0,3,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4692,スヴェンド,355,34,67,70,425,28,180,180,180,180,180,2,32,70,14400,4,-2,0,0,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,リュデル,370,34,77,62,420,28,220,220,200,180,180,3,34,80,18000,4,-2,0,2,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,エスフィード,340,32,76,70,420,28,180,180,100,160,160,2,32,70,13500,2,-5,0,5,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,アンビロウム,950,42,74,80,780,42,300,300,280,240,120,5,73,180,108000,3,-5,2,2,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,ゲシュペンストMk-II・タイプSA改,372,32,90,80,300,21,300,320,310,250,250,0,55,20,20400,3,-1,4,2,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4697,量産型ゲシュペンストMk-II改・タイプC,390,51,71,85,300,25,280,280,235,250,250,0,42,20,20400,3,0,2,0,4,その他,x,バンプレストオリジナル,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,テイタニア専用エルドスピーネ,275,19,75,60,320,10,250,250,200,200,0,-5,36,30,2160,5,-5,-5,-5,4,その他,e,専用機,o,ボトムズシリーズ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,スネークソード仕様Gサイフォス,396,35,82,66,340,18,220,220,215,185,40,0,28,10,12000,2,-4,2,-4,1,MS系,ｴ,機動戦士ガンダムAGE,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,ビルドストライク,480,45,62,60,450,30,200,220,100,120,80,0,42,120,19500,3,-4,3,1,1,MS系,6,ガンダム系,ｸ,ガンダムビルドシリーズ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4701,ビルドストライクFP,504,45,75,60,450,30,200,220,100,120,80,0,43,30,25500,3,-4,3,2,1,MS系,6,ガンダム系,ｸ,ガンダムビルドシリーズ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4702,ドルチェノフ専用ギルガザムネ,800,58,80,92,730,28,250,260,190,190,160,0,75,80,60000,5,0,0,1,4,その他,e,専用機,n,スパロボ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703,ラビリス,100,12,60,40,900,20,300,300,300,200,100,-5,40,100,210000,3,-5,-5,-4,f,人系,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4704,グルンガスト弐式(2号機),650,52,55,60,630,80,300,300,300,300,300,5,55,20,38700,4,-3,3,-1,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4705,Gホーク(2号機),650,46,75,60,630,80,300,300,300,300,300,5,55,20,38700,-5,-5,3,5,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4706,プファイルIII,404,40,87,70,345,21,300,300,120,300,300,0,39,80,20100,3,-3,3,2,4,その他,x,バンプレストオリジナル,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4707,セレーナ仕様ゲシュテルベン改,345,32,92,90,400,22,400,300,300,250,235,0,51,70,20700,3,0,4,3,4,その他,e,専用機,x,バンプレストオリジナル,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4708,AGE-3フォートレス,498,52,94,70,636,19,185,185,150,190,110,0,59,60,24360,4,-4,-4,-4,1,MS系,6,ガンダム系,ｴ,機動戦士ガンダムAGE,,,,,,,|,OT時にランダムで攻撃力UP,OT機,,,,,,,,240mmキャノン,★シグマシスキャノン,ビーム,180,99,80,10,40,4,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4709,那珂改二,480,68,42,54,500,162,110,140,120,325,65,0,35,200,36030,0,3,-9,-4,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4710,ディーン専用陸戦高機動型ザク,282,21,56,45,312,18,30,50,50,30,30,0,28,5,6750,3,-4,-5,-4,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,e,専用機,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4711,ザク・ハーフキャノン,220,18,32,45,235,17,0,30,0,0,30,0,21,80,6570,3,-5,-5,-3,1,MS系,5,ザク系,9,ジオン・ネオジオン軍・ザフト,D,MSV（モビルスーツバリエーション）,F,量産機,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4712,ジム・ガードカスタム(強襲),296,30,52,60,326,18,50,50,0,0,0,0,28,90,7680,2,-3,2,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,,,,,,,|,なし,強襲タイプ,OT機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4713,寒冷地仕様ジム(大型クロー装備),282,26,48,53,312,18,0,20,30,40,0,0,19,30,6930,2,-3,2,-4,1,MS系,7,ジム系,8,連邦軍・ティターンズ・地球連合,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4714,ブロディア・ライアット,370,40,80,58,350,15,180,190,190,140,140,0,35,30,5520,3,-1,3,2,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4715,弥生,130,18,37,17,450,102,30,90,35,80,50,0,14,1,18030,0,3,-9,-5,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4716,卯月,130,18,37,17,450,102,30,90,35,80,50,0,14,1,18030,0,3,-9,-5,3,艦船系,f,人系,ｷ,艦これ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4717,シラヌイ,500,5,25,150,400,80,250,250,200,200,200,0,38,1,12000,-3,-4,1,-3,3,艦船系,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4718,カゲロウ,500,5,25,150,400,80,250,250,200,200,200,0,38,1,12000,-3,-4,1,-3,3,艦船系,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4719,ツルギ,550,5,20,120,500,80,200,250,200,200,200,0,42,1,13800,-3,-4,2,-3,3,艦船系,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720,ヤクモ,550,5,20,120,500,80,200,250,200,200,200,0,42,1,13800,-3,-4,2,-3,3,艦船系,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4721,コスモゼロα2,180,18,85,65,370,9,180,180,185,185,180,0,39,40,18000,-4,-5,4,4,n,スパロボ,q,車輌・戦闘機系,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4722,袖付き仕様ドーベン・ウルフ,480,59,118,60,478,22,190,200,170,200,0,0,39,30,38550,2,-3,2,-4,1,MS系,9,ジオン・ネオジオン軍・ザフト,ｵ,機動戦士ガンダムUC,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4723,デュナメスリペア,376,42,84,68,395,24,180,180,0,180,180,0,38,5,14520,2,-4,2,1,1,MS系,6,ガンダム系,j,機動戦士ガンダム00,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4724,衛人,405,28,65,55,500,20,300,300,200,250,250,-3,29,40,5700,0,-2,3,-5,4,その他,n,スパロボ,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4725,ライトニングサイクス,410,55,100,70,580,20,280,300,230,270,240,0,61,80,19200,6,-3,-5,1,4,その他,l,ゾイドシリーズ,n,スパロボ,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4726,ネロ・ブライド,90,10,110,70,990,10,420,235,730,530,760,0,40,154,180000,5,0,-6,-4,f,人系,,,,,,,,,,,|,SSサイズ,人間系ポイント増,近距離戦闘強化,おしゃべり機能,OT機,,,,,ビーム・ソード,★童女謳う華の帝政,実弾,132,99,10,0,30,5,牽制,高性能ジェネレーター,★招き蕩う黄金劇場,,,,,,,,EN消費3/4、ダメージ1.25倍、連続ダメージ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4727,デスビースト,313,25,60,60,393,17,30,30,35,35,0,0,34,30,8250,3,-3,-5,-5,1,MS系,V,機動武闘伝Gガンダム,F,量産機,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
