,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3737,,│││││　　　　└天のゼオライマー,天のゼオライマー,"1,707",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),風のランスター,火のブライスト,月のローズセラヴィー,地のディノディロス,山のバーストン,雷のオムザック,天のゼオライマー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,-5,-5,-5,-5,-5,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3738,,│││││　　　　　└グレートゼオライマー,グレートゼオライマー,"2,212",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),風のランスター,火のブライスト,月のローズセラヴィー,地のディノディロス,山のバーストン,雷のオムザック,天のゼオライマー,グレートゼオライマー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,-5,-5,-5,-5,-5,-6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3739,,││││└水のガロウィン,水のガロウィン,"1,702",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),風のランスター,水のガロウィン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3740,,│││├イクサーロボ,イクサーロボ,"3,932",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3741,,││││└弾劾凰,弾劾凰,"1,105",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3742,,││││　└ダンガイオー,ダンガイオー,"1,106",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3743,,││││　　├グランカイザー,グランカイザー,"3,266",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3744,,││││　　│├ゴッドグラヴィオン,ゴッドグラヴィオン,"1,529",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ゴッドグラヴィオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3745,,││││　　│├グラントルーパー,グラントルーパー,"3,757",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,グラントルーパー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3746,,││││　　│└ジアース,ジアース,"3,034",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3747,,││││　　│　└アルマ,アルマ,"3,453",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3748,,││││　　│　　├アルマ・イダテン,アルマ・イダテン,"3,454",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,アルマ・イダテン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3749,,││││　　│　　├ジャック,ジャック,"3,938",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ジャック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3750,,││││　　│　　├ツバキヒメ,ツバキヒメ,"3,935",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ツバキヒメ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3751,,││││　　│　　├タリスマン,タリスマン,"3,934",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,タリスマン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3752,,││││　　│　　├アパレシオン,アパレシオン,"3,456",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,アパレシオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3753,,││││　　│　　├ヴァーダント,ヴァーダント,"3,291",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ヴァーダント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3754,,││││　　│　　│├ディスィーブ,ディスィーブ,"3,455",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ヴァーダント,ディスィーブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3755,,││││　　│　　│├ラインバレル,ラインバレル,"3,290",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ヴァーダント,ラインバレル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3756,,││││　　│　　││├ラインバレル・オーバードライブ,ラインバレル・オーバードライブ,"7,602",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ヴァーダント,ラインバレル,ラインバレル・オーバードライブ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3757,,││││　　│　　││└ラインバレル・オーバーライド,ラインバレル・オーバーライド,"4,072",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ヴァーダント,ラインバレル,ラインバレル・オーバーライド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3758,,││││　　│　　││　├改修仕様ラインバレル,改修仕様ラインバレル,"7,034",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ヴァーダント,ラインバレル,ラインバレル・オーバーライド,改修仕様ラインバレル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,-4,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3759,,││││　　│　　││　│└EX-ラインバレル,EX-ラインバレル,"7,035",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ヴァーダント,ラインバレル,ラインバレル・オーバーライド,改修仕様ラインバレル,EX-ラインバレル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,-4,-4,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3760,,││││　　│　　││　│　└ラインバレル・オーバーロード,ラインバレル・オーバーロード,"7,086",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ヴァーダント,ラインバレル,ラインバレル・オーバーライド,改修仕様ラインバレル,EX-ラインバレル,ラインバレル・オーバーロード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,-4,-4,-4,-4,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3761,,││││　　│　　││　└ラインバレル・アマガツ,ラインバレル・アマガツ,"7,085",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ヴァーダント,ラインバレル,ラインバレル・オーバーライド,ラインバレル・アマガツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,-4,-4,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3762,,││││　　│　　│└ハインド・カインド,ハインド・カインド,"3,451",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ヴァーダント,ハインド・カインド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3763,,││││　　│　　│　└ハインド・カインド(LC装備),ハインド・カインド(LC装備),"3,452",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ヴァーダント,ハインド・カインド,ハインド・カインド(LC装備),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3764,,││││　　│　　├ペインキラー,ペインキラー,"3,681",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,ペインキラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765,,││││　　│　　├カグツチ,カグツチ,"3,933",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,カグツチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3766,,││││　　│　　├グラン・ネイドル,グラン・ネイドル,"3,937",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,グラン・ネイドル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3767,,││││　　│　　└迅雷,迅雷,"3,936",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,グランカイザー,ジアース,アルマ,迅雷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,3,0,-4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3768,,││││　　├ギル・ギア,ギル・ギア,"5,964",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,ギル・ギア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3769,,││││　　└ブレイバーン,ブレイバーン,"8,399",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,ブレイバーン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3770,,││││　　　└バーンドラゴン,バーンドラゴン,"8,636",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサーロボ,弾劾凰,ダンガイオー,ブレイバーン,バーンドラゴン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,0,8,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3771,,│││├空神ウィンダム,空神ウィンダム,"6,357",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),空神ウィンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3772,,││││├海神セレス,海神セレス,"6,358",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),空神ウィンダム,海神セレス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3773,,│││││└炎神レイアース,炎神レイアース,"6,359",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),空神ウィンダム,海神セレス,炎神レイアース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3774,,│││││　├合体魔神レイアース,合体魔神レイアース,"1,546",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),空神ウィンダム,海神セレス,炎神レイアース,合体魔神レイアース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3775,,│││││　├魔神レガリア,魔神レガリア,"6,499",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),空神ウィンダム,海神セレス,炎神レイアース,魔神レガリア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3776,,│││││　└NSX,NSX,"7,168",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),空神ウィンダム,海神セレス,炎神レイアース,NSX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3777,,│││││　　└バースロイル,バースロイル,"3,908",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),空神ウィンダム,海神セレス,炎神レイアース,NSX,バースロイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,6,6,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3778,,││││└巨大サンユン,巨大サンユン,"7,062",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),空神ウィンダム,巨大サンユン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3779,,│││├イクサー2,イクサー2,"3,929",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサー2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3780,,││││└イクサーΣ,イクサーΣ,"3,950",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサー2,イクサーΣ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3781,,│││├イクサー1,イクサー1,"3,928",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサー1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3782,,│││├イクサー3,イクサー3,"3,930",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),イクサー3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3783,,│││└ビッグゴールド,ビッグゴールド,"3,945",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,イクサーロボ(R),ビッグゴールド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3784,,││├メイプル,メイプル,"6,855",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,メイプル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3785,,│││└機械神仕様メイプル,機械神仕様メイプル,"6,856",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,メイプル,機械神仕様メイプル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3786,,││├シエル,シエル,"1,569",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3787,,│││├完全武装仕様シエル,完全武装仕様シエル,"5,299",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,完全武装仕様シエル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3788,,│││├レン,レン,"5,321",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,レン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3789,,││││└白レン,白レン,"5,320",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,レン,白レン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3790,,│││├有間都古,有間都古,"5,325",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,有間都古,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3791,,│││├リーズバイフェ,リーズバイフェ,"5,333",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,リーズバイフェ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3792,,│││├遠野秋葉,遠野秋葉,"5,302",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,遠野秋葉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3793,,││││└赤主秋葉,赤主秋葉,"5,303",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,遠野秋葉,赤主秋葉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3794,,│││├アルクェイド,アルクェイド,"1,635",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,アルクェイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3795,,││││├ファンタズムーン,ファンタズムーン,"5,271",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,アルクェイド,ファンタズムーン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3796,,││││├第一再臨セイバー仕様両儀式,第一再臨セイバー仕様両儀式,"5,770",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,アルクェイド,第一再臨セイバー仕様両儀式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3797,,│││││└第二再臨セイバー仕様両儀式,第二再臨セイバー仕様両儀式,"5,771",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,アルクェイド,第一再臨セイバー仕様両儀式,第二再臨セイバー仕様両儀式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3798,,│││││　└第三再臨セイバー仕様両儀式,第三再臨セイバー仕様両儀式,"5,772",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,アルクェイド,第一再臨セイバー仕様両儀式,第二再臨セイバー仕様両儀式,第三再臨セイバー仕様両儀式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3799,,││││├真祖アルクェイド,真祖アルクェイド,"5,300",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,アルクェイド,真祖アルクェイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3800,,││││└両儀式,両儀式,"5,257",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,アルクェイド,両儀式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3801,,│││├弓塚さつき,弓塚さつき,"5,306",ジオン公国軍兵士,地球連邦軍兵士,地球連邦軍女性兵士,シエル,弓塚さつき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
