,派生表通番,NO,目的派生検索,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,3148,"2,339",エクサランス・ストライカー,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エクサランス・ストライカー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3149,"2,342",エクサランス・ダイバー,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エクサランス・ストライカー,エクサランス・ダイバー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3150,"2,340",エクサランス・ガンナー,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エクサランス・ストライカー,エクサランス・ガンナー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3151,"2,987",エクサランス・エターナル,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エクサランス・ストライカー,エクサランス・エターナル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3152,"2,343",エクサランス・コスモドライバー,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エクサランス・ストライカー,エクサランス・コスモドライバー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3153,"4,252",エクサランス・レスキュー,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エクサランス・ストライカー,エクサランス・レスキュー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3154,"2,344",エクサランス・ライトニング,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エクサランス・ストライカー,エクサランス・ライトニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3155,"2,341",エクサランス・フライヤー,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エクサランス・ストライカー,エクサランス・フライヤー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3156,"1,681",アシュセイヴァー,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アシュセイヴァー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3157,"2,865",ヴァイスセイヴァー,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アシュセイヴァー,ヴァイスセイヴァー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3158,"1,799",ラピエサージュ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アシュセイヴァー,ラピエサージュ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3159,"2,087",エール・シュヴァリアー,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3160,"2,088",ジェアン・シュヴァリアー,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,ジェアン・シュヴァリアー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3161,"3,636",ファートゥム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,ファートゥム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3162,"3,631",フォルティス・アーラ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,フォルティス・アーラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3163,"2,089",ブランシュネージュ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,ブランシュネージュ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3164,"2,090",デア・ブランシュネージュ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,ブランシュネージュ,デア・ブランシュネージュ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3165,"2,092",ストゥディウム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,ストゥディウム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3166,"3,629",ウィオラー・ケウム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,ウィオラー・ケウム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3167,"3,633",プリスクス・ノクス,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,プリスクス・ノクス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3168,"2,091",ファービュラリス,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,ファービュラリス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3169,"2,084",ガナドゥール,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,ガナドゥール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3170,"2,085",ストレーガ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,ガナドゥール,ストレーガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3171,"2,086",フォルテギガス,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,ガナドゥール,ストレーガ,フォルテギガス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3172,"3,630",インペトゥス,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,エール・シュヴァリアー,インペトゥス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3173,"3,083",ランドグリーズ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,ランドグリーズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3174,"3,084",ランドグリーズ・レイブン,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,ランドグリーズ,ランドグリーズ・レイブン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3175,"1,682",ラーズアングリフ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,ランドグリーズ,ラーズアングリフ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3176,"2,787",ラーズアングリフ・レイブン,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,ランドグリーズ,ラーズアングリフ,ラーズアングリフ・レイブン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3177,"1,680",アンジュルグ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3178,"2,238",ソウルゲイン,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3179,"3,267",ヤルダバオト,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,ヤルダバオト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3180,"3,268",ヤルダバオト(神化),96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,ヤルダバオト,ヤルダバオト(神化),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3181,"3,271",アンドラス,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,ヤルダバオト,アンドラス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3182,"3,270",アガレス,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,ヤルダバオト,アガレス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3183,"3,276",グラシャラボラス,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,ヤルダバオト,グラシャラボラス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3184,"3,275",マルディクト,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,ヤルダバオト,マルディクト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3185,"3,274",ペイリネス,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,ヤルダバオト,ペイリネス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3186,"3,277",エクスティム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,ヤルダバオト,エクスティム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3187,"3,278",ラハ・エクスティム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,ヤルダバオト,エクスティム,ラハ・エクスティム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3188,"3,820",アルクオン,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,ヤルダバオト,アルクオン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3189,"3,269",ビレフォール,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,ヤルダバオト,ビレフォール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3190,"3,829",アークゲイン,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,アークゲイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3191,"2,239",ツヴァイザーゲイン,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ソウルゲイン,ツヴァイザーゲイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3192,"2,206",ヴァイサーガ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,ゲシュペンスト,アンジュルグ,ヴァイサーガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3193,"5,007",鬼牙装仕様関羽ガンダム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,鬼牙装仕様関羽ガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3194,"6,576",リアルタイプ仕様関羽ガンダム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,鬼牙装仕様関羽ガンダム,リアルタイプ仕様関羽ガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3195,861,0ガンダム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3196,"3,572",実戦配備仕様0ガンダム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,実戦配備仕様0ガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3197,"3,761",フルアーマー0ガンダム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,実戦配備仕様0ガンダム,フルアーマー0ガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3198,"3,225",ガンダムサダルスード,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3199,"3,241",ガンダムサダルスードTYPE-F,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムサダルスードTYPE-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3200,"2,825",ガンダムデュナメス,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3201,"3,201",ケルディムガンダム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,ケルディムガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3202,"3,367",ケルディムサーガ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,ケルディムガンダム,ケルディムサーガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3203,"6,195",GBF仕様ケルディムサーガ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,ケルディムガンダム,ケルディムサーガ,GBF仕様ケルディムサーガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3204,"4,118",ケルディムストーム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,ケルディムガンダム,ケルディムストーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3205,"3,517",ケルディムガンダムGNHW/R,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,ケルディムガンダム,ケルディムガンダムGNHW/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3206,"3,914",ガンダムサバーニャ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,ケルディムガンダム,ケルディムガンダムGNHW/R,ガンダムサバーニャ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3207,"5,090",最終決戦仕様ガンダムサバーニャ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,ケルディムガンダム,ケルディムガンダムGNHW/R,ガンダムサバーニャ,最終決戦仕様ガンダムサバーニャ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3208,"3,106",デュナメストルペード,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,デュナメストルペード,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3209,"7,154",デヴァイズデュナメス,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,デヴァイズデュナメス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3210,"4,723",デュナメスリペア,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,デュナメスリペア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3211,"8,315",デュナメスサーガ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,デュナメスリペア,デュナメスサーガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3212,"6,773",デュナメスリペアIII,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,デュナメスリペア,デュナメスリペアIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3213,"3,432",ストームデュナメス,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,ストームデュナメス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3214,"3,195",GNアームズTYPE-D,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,GNアームズTYPE-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3215,"3,140",デュナメス超高高度用射撃銃装備,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムサダルスード,ガンダムデュナメス,デュナメス超高高度用射撃銃装備,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3216,"3,534",ガンダムラジエル,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムラジエル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3217,"3,600",1ガンダム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,1ガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3218,"3,834",1.5ガンダム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,1ガンダム,1.5ガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3219,"2,428",オリジン,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,1ガンダム,1.5ガンダム,オリジン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3220,"3,610",GNキャノン,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,1ガンダム,GNキャノン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3221,"3,228",ガンダムプルトーネ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3222,"4,161",プルトーネブラック,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,プルトーネブラック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3223,"3,762",ガルムガンダム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,ガルムガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3224,"3,368",ガデッサ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,ガルムガンダム,ガデッサ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3225,"3,911",ラファエルガンダム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,ガルムガンダム,ガデッサ,ラファエルガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3226,"4,117",ラファエルドミニオンズ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,ガルムガンダム,ガデッサ,ラファエルガンダム,ラファエルドミニオンズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3227,"7,649",ティフォエウスガンダム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,ガルムガンダム,ガデッサ,ラファエルガンダム,ティフォエウスガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3228,"3,763",ガガ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,ガルムガンダム,ガデッサ,ガガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3229,"2,822",ガンダムヴァーチェ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,ガンダムヴァーチェ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3230,"3,100",ガンダムナドレ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,ガンダムヴァーチェ,ガンダムナドレ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3231,"3,424",ナドレアクウオス,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,ガンダムヴァーチェ,ガンダムナドレ,ナドレアクウオス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3232,"5,287",トランジェントガンダム,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,ガンダムヴァーチェ,ガンダムナドレ,トランジェントガンダム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3233,"5,412",トランジェント・アヴァターラ,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,ガンダムヴァーチェ,ガンダムナドレ,トランジェントガンダム,トランジェント・アヴァターラ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3234,"5,787",トランジェントグレイシャー,96式艦戦,零式艦戦21型,トリアーエズ,TINコッド,コア・ファイター,プロトタイプガンダム,ガンダム(RO),ガンダム,0ガンダム,ガンダムプルトーネ,ガンダムヴァーチェ,ガンダムナドレ,トランジェントガンダム,トランジェントグレイシャー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
