No,機体名,★変形flag,ＨＰ,装甲,運動,索敵,ＥＮ,重量,直感,操縦,近,中,遠,名声,NT,SIZE,コスト,クレジット,地上,水中,宇宙,空中,種別
4549,ウェルスピナー・レイ,0,410,58,70,75,420,25,250,250,250,140,120,50,NT3,Ｍ,42,31000,3,2,-2,0,その他／バンプレストオリジナル
4550,ディンフレイル,0,380,32,62,90,450,28,240,240,180,180,240,70,NT2,Ｍ,39,18600,4,-2,0,-2,その他／バンプレストオリジナル
4551,ガエン仕様ソルガディ,0,390,30,88,68,420,22,240,240,180,180,180,80,NT2,Ｍ,40,18000,3,-2,4,5,その他／バンプレストオリジナル
4552,ベリアル,0,480,40,100,65,650,16,500,500,350,350,350,180,NT10,Ｓ,52,76000,2,-1,-4,4,その他／スパロボシリーズ
4553,赤城,0,690,54,28,69,800,261,365,0,160,0,60,300,－,ＬＬ,71,132590,0,3,-9,-3,艦船系／人系／艦これ
4554,加賀,0,710,59,27,69,800,238,279,0,84,0,30,300,－,ＬＬ,72,132590,0,3,-9,-3,艦船系／人系／艦これ
4555,蒼龍,0,500,49,33,69,760,227,320,0,130,0,50,300,－,ＬＬ,63,110090,0,3,-9,-3,艦船系／人系／艦これ
4556,飛龍,0,500,49,37,69,760,227,320,0,130,0,175,300,－,ＬＬ,64,110090,0,3,-9,-3,艦船系／人系／艦これ
4557,トレイス仕様ジャオーム,0,410,34,88,62,420,28,250,250,170,170,170,50,NT2,Ｍ,35,18000,3,-2,4,5,その他／バンプレストオリジナル
4558,レオゲイラ,0,360,34,60,70,450,28,180,180,180,140,80,30,NT2,Ｍ,35,14400,5,-2,0,1,その他／バンプレストオリジナル
4559,デルギラン,0,375,58,42,90,450,28,180,180,80,140,180,40,NT2,Ｍ,35,14400,4,-2,0,-4,その他／バンプレストオリジナル
4560,キョウメイ朱,0,420,58,102,70,450,28,250,250,200,140,140,100,NT3,Ｍ,42,32200,3,-2,2,4,その他／バンプレストオリジナル
4561,キョウメイ蒼,0,420,58,102,70,450,28,250,250,140,200,140,20,NT3,Ｍ,42,32200,3,2,2,4,その他／バンプレストオリジナル
4562,翔鶴,0,620,49,36,69,970,257,375,0,145,0,50,300,－,ＬＬ,75,128090,0,3,-9,-3,艦船系／人系／艦これ
4563,航空母艦瑞鶴,0,620,49,39,69,970,257,360,0,145,0,200,1,－,ＬＬ,75,128090,0,3,-9,-3,艦船系／人系／艦これ
4564,瑞鶴改,0,750,72,42,89,970,257,460,0,240,0,210,50,－,ＬＬ,83,168590,0,3,-9,-3,艦船系／人系／艦これ
4565,セルファイター,0,300,31,73,50,245,24,190,170,150,180,150,30,－,Ｍ,29,18330,-5,-4,2,3,スパロボシリーズ／車輌・戦闘機系
4566,セルブースター,0,456,37,73,55,420,41,200,180,160,190,160,40,－,Ｌ,41,19530,-5,-4,4,0,スパロボシリーズ／車輌・戦闘機系
4567,セルブースター・バルハラ,0,456,37,73,55,420,74,200,180,160,190,160,40,－,Ｌ,42,19530,-4,-4,4,2,スパロボシリーズ／車輌・戦闘機系
4568,フルアーマー電童,0,588,64,80,60,475,24,220,220,180,150,150,50,NT5,Ｍ,50,64180,3,-3,3,3,その他／スパロボシリーズ
4569,シャルドールローグ,0,318,35,68,50,320,18,170,170,95,95,40,25,－,Ｍ,32,8550,1,-4,3,-4,MS系／ガンダムAGE
4570,伊168,0,100,17,15,29,700,104,10,120,0,0,50,1,－,ＬＬ,41,18030,0,6,-9,-5,艦船系／人系／艦これ
4571,伊58,0,140,19,13,39,525,108,10,150,0,0,200,1,－,ＬＬ,37,18030,0,6,-9,-5,艦船系／人系／艦これ
4572,Gエグゼスジャックエッジ,0,362,36,76,50,310,18,180,210,95,125,40,80,－,Ｍ,24,6390,2,-4,3,-4,MS系／専用機／ガンダムAGE
4573,長良改,0,430,69,40,49,500,162,120,175,100,175,60,50,－,ＬＬ,52,43060,0,3,-9,-5,艦船系／人系／艦これ
4574,名取改,0,430,59,40,49,500,162,120,175,95,175,60,50,－,ＬＬ,52,43060,0,3,-9,-4,艦船系／人系／艦これ
4575,五十鈴改二,0,440,69,42,59,500,162,135,235,265,370,65,100,－,ＬＬ,54,43060,0,3,-9,-5,艦船系／人系／艦これ
4576,ヴェールヌイ,0,370,58,47,44,500,118,185,235,210,305,100,100,－,ＬＬ,50,28060,0,3,-9,-5,艦船系／人系／艦これ
4577,ニムバス,0,340,34,72,50,420,28,180,180,150,150,120,40,NT2,Ｍ,30,12000,4,-4,0,1,その他／バンプレストオリジナル
4578,ドリッツ,0,360,52,42,80,420,28,180,180,120,150,150,60,NT2,Ｍ,32,12600,5,-2,0,-4,その他／バンプレストオリジナル
4579,ゼルヴォイド・ヴァスト,0,380,60,78,62,450,28,280,280,280,240,240,50,NT3,Ｍ,42,32800,3,-2,1,3,その他／バンプレストオリジナル
4580,ゼルヴォイド,0,700,70,100,80,500,28,320,320,300,300,300,100,NT5,Ｍ,72,64000,2,-2,2,4,その他／バンプレストオリジナル
4581,夕立改二,0,310,52,46,49,400,118,210,250,130,250,100,100,－,ＬＬ,44,19530,0,3,-9,-5,艦船系／人系／艦これ
4582,夕雲,0,160,19,47,19,500,119,50,120,45,135,60,100,－,ＬＬ,39,19530,0,3,-9,-5,艦船系／人系／艦これ
4583,秋雲,0,160,19,45,19,500,119,50,120,45,120,70,1,－,ＬＬ,39,19530,0,3,-9,-5,艦船系／人系／艦これ
4584,Gサイフォス,0,396,35,82,66,340,18,220,220,195,185,40,40,－,Ｍ,28,12000,2,-4,2,-4,MS系／ガンダムAGE
4585,金剛,0,630,69,30,39,800,214,315,0,120,0,60,400,－,ＬＬ,68,272090,0,3,-9,-3,艦船系／人系／艦これ
4586,比叡,0,630,69,30,39,800,214,315,0,120,0,50,1,－,ＬＬ,68,272090,0,3,-9,-3,艦船系／人系／艦これ
4587,榛名,0,630,69,30,39,800,214,315,0,120,0,75,1,－,ＬＬ,68,272090,0,3,-9,-3,艦船系／人系／艦これ
4588,霧島,0,630,69,30,39,800,222,315,0,120,0,50,1,－,ＬＬ,68,272090,0,3,-9,-3,艦船系／人系／艦これ
4589,扶桑,0,670,79,19,33,800,205,370,0,115,0,25,100,－,ＬＬ,69,294590,0,3,-9,-3,艦船系／人系／艦これ
4590,扶桑改,0,750,89,33,49,800,205,525,0,240,0,50,100,－,ＬＬ,75,290090,0,3,-9,-3,艦船系／人系／艦これ
4591,山城,0,670,79,19,33,800,205,370,0,115,0,25,1,－,ＬＬ,69,294590,0,3,-9,-3,艦船系／人系／艦これ
4592,山城改,0,750,89,33,49,800,205,525,0,220,0,50,100,－,ＬＬ,75,290090,0,3,-9,-3,艦船系／人系／艦これ
4593,レギトゥス,0,450,32,60,60,400,18,150,150,150,150,150,50,－,Ｍ,38,12900,1,-2,2,1,その他／スパロボシリーズ／量産機
4594,リベルタス,0,550,38,80,60,500,20,200,220,220,180,150,150,－,Ｍ,51,28000,2,-2,2,2,その他／スパロボシリーズ
4595,ウォルンタス,0,550,40,78,62,500,20,200,220,200,200,200,150,－,Ｍ,51,28000,2,-2,2,2,その他／スパロボシリーズ
4596,テネリタス,0,550,42,75,65,500,20,200,220,150,200,220,150,－,Ｍ,51,28000,2,-2,2,2,その他／スパロボシリーズ
4597,マグドーラ・デウンド,0,380,30,55,55,320,15,120,120,100,120,100,50,－,Ｍ,36,12900,1,-2,1,1,その他／スパロボシリーズ／量産機
4598,マグドーラ・シーカ,0,380,30,55,55,320,15,120,120,100,120,100,20,－,Ｍ,36,12900,1,-2,1,1,その他／スパロボシリーズ／量産機
4599,マグドーラ・ラーレ,0,380,30,55,55,320,15,120,120,100,120,100,20,－,Ｍ,36,12900,1,-2,1,1,その他／スパロボシリーズ／量産機
4600,AGE-1アサルトジャケット,0,470,47,77,58,509,18,150,150,130,130,0,10,－,Ｍ,46,14526,2,-1,2,-5,MS系／ガンダム系／ガンダムAGE
4601,マグフォート,0,460,32,70,55,480,15,220,230,220,240,220,80,－,Ｍ,44,40000,1,-1,2,2,その他／スパロボシリーズ
4602,マグレーグル,0,480,35,75,55,480,17,300,230,220,250,220,100,－,Ｍ,46,64000,2,-1,2,2,その他／スパロボシリーズ
4603,マグオルトル,0,550,48,90,65,600,20,300,230,280,280,250,200,強5,Ｍ,60,76000,4,0,4,4,その他／スパロボシリーズ
4604,マグオルトル(P) ,1,550,48,101,55,600,20,300,230,280,280,250,200,強5,Ｍ,60,0,-6,0,5,5,スパロボシリーズ／車輌・戦闘機系
4605,トリロク,0,350,20,50,50,300,15,100,100,100,100,100,50,－,Ｍ,37,6900,-3,-3,2,1,その他／スパロボシリーズ／量産機
4606,アルヴィティオ,0,450,30,60,60,450,15,150,150,150,150,150,80,－,Ｍ,43,13500,1,-2,2,1,その他／スパロボシリーズ／量産機
4607,アルヴィリウム,0,620,50,70,65,600,25,200,200,200,200,240,200,－,Ｍ,52,64000,2,-2,2,2,その他／スパロボシリーズ
4608,アルヴィリウム・セペラ,0,650,52,75,80,620,28,150,150,220,220,280,80,－,Ｍ,60,67000,2,-2,2,2,その他
4609,伊勢,0,740,89,22,36,950,219,430,0,140,0,75,100,－,ＬＬ,78,294590,0,3,-9,-3,艦船系／人系／艦これ
4610,伊勢改,0,770,92,36,60,950,219,540,0,245,0,150,100,－,ＬＬ,82,290090,0,3,-9,-3,艦船系／人系／艦これ
4611,日向,0,740,89,22,36,950,219,430,0,140,0,75,1,－,ＬＬ,78,294590,0,3,-9,-3,艦船系／人系／艦これ
4612,日向改,0,770,92,36,60,950,219,535,0,245,0,130,100,－,ＬＬ,82,290090,0,3,-9,-3,艦船系／人系／艦これ
4613,巻雲,0,160,19,47,19,500,119,50,120,45,135,55,1,－,ＬＬ,39,19530,0,3,-9,-5,艦船系／人系／艦これ
4614,長波,0,160,19,47,19,500,119,50,120,45,135,65,1,－,ＬＬ,39,19530,0,3,-9,-5,艦船系／人系／艦これ
4615,陸奥,0,800,89,24,39,550,215,470,0,155,0,15,100,－,ＬＬ,67,344090,0,3,-9,-3,艦船系／人系／艦これ
4616,長門,0,800,89,24,39,550,224,470,0,155,0,100,100,－,ＬＬ,67,344090,0,3,-9,-3,艦船系／人系／艦これ
4617,大和,0,930,108,27,39,720,263,620,0,250,0,60,200,－,ＬＬ,78,1100120,0,3,-9,-3,艦船系／人系／艦これ
4618,大和改,0,960,118,28,39,720,263,660,0,385,0,65,1200,－,ＬＬ,80,1154120,0,3,-9,-3,艦船系／人系／艦これ
4619,ジェノアスMカスタム,0,310,30,60,55,320,18,160,160,65,95,0,10,－,Ｍ,21,8475,1,-4,3,-5,MS系／ガンダムAGE
4620,時雨改二,0,310,52,62,43,400,118,175,280,180,265,250,100,－,ＬＬ,45,19530,0,3,-9,-5,艦船系／人系／艦これ
4621,ジェガンA2型,0,390,45,92,58,425,19,140,165,150,150,150,1,－,Ｍ,31,18240,1,-4,2,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合／ガンダムUC／量産機
4622,ゼネラル・レビル仕様リゼルC型(Db),0,435,54,118,75,460,20,270,290,320,320,320,30,－,Ｍ,48,43660,2,-3,2,-4,MS系／連邦軍・ティターンズ・地球連合／ガンダムUC
4623,ゼネラル・レビル仕様リゼルC型(Db)(WR) ,1,435,54,124,75,460,20,270,290,320,320,320,30,－,Ｍ,48,0,-5,-5,4,3,MA系／連邦軍・ティターンズ・地球連合／ガンダムUC
4624,阿賀野,0,300,32,37,45,600,174,130,120,85,125,50,200,－,ＬＬ,48,55060,0,3,-9,-5,艦船系／人系／艦これ
4625,能代,0,300,32,37,45,600,174,130,120,85,125,50,1,－,ＬＬ,48,55060,0,3,-9,-5,艦船系／人系／艦これ
4626,伊19,0,140,18,12,39,700,108,10,180,0,0,60,200,－,ＬＬ,43,18030,0,6,-9,-5,艦船系／人系／艦これ
4627,伊8,0,150,19,14,39,700,109,10,165,0,0,100,1,－,ＬＬ,44,18030,0,6,-9,-5,艦船系／人系／艦これ
4628,金剛改二,0,820,94,37,49,800,214,510,0,315,0,65,1200,－,ＬＬ,78,330590,0,3,-9,-3,艦船系／人系／艦これ
4629,武蔵,0,940,108,27,40,720,263,620,0,250,0,50,1,－,ＬＬ,79,1100120,0,3,-9,-3,艦船系／人系／艦これ
4630,武蔵改,0,970,119,27,40,720,263,620,0,300,0,45,1200,－,ＬＬ,81,1154120,0,3,-9,-3,艦船系／人系／艦これ
4631,スリーディ,0,150,17,27,40,300,12,10,10,55,0,0,1,－,Ｍ,19,1200,1,-4,-5,-4,MS系／ガンダムAGE／量産機
4632,ヴァンデラ,0,254,19,28,40,305,18,10,10,55,0,0,1,－,Ｍ,27,1440,1,-4,-5,-4,MS系／ガンダムAGE／量産機
4633,ジェノアスFカスタム,0,300,37,40,55,310,18,160,160,65,95,0,10,－,Ｍ,29,7575,3,-4,1,-4,MS系／専用機／ガンダムAGE
4634,衣笠改二,0,530,73,38,54,700,185,270,235,210,0,65,200,－,ＬＬ,63,110090,0,3,-9,-4,艦船系／人系／艦これ
4635,ザムジード(精霊憑依),0,600,93,74,75,520,28,460,460,400,270,270,200,NT7,Ｍ,58,275600,5,0,2,1,その他／バンプレストオリジナル
4636,ドズル専用リック・ドム,0,300,28,56,48,326,18,0,0,90,90,0,40,－,Ｍ,20,7770,-3,-4,3,-5,MS系／ジオン・ネオジオン軍・ザフト／ドム系／専用機／MSV(モビルスーツバリエーション)
4637,白露改,0,300,49,45,39,400,118,90,185,90,155,150,100,－,ＬＬ,43,19530,0,3,-9,-5,艦船系／人系／艦これ
4638,矢矧,0,310,33,38,45,600,174,130,120,85,125,65,1,－,ＬＬ,49,55060,0,3,-9,-5,艦船系／人系／艦これ
4639,比叡改二,0,830,95,36,52,800,214,315,0,120,0,65,200,－,ＬＬ,78,330590,0,3,-9,-3,艦船系／人系／艦これ
4640,ホワイトディンゴ仕様量産型ガンキャノン,0,330,34,50,68,320,18,0,0,0,80,80,50,－,Ｍ,32,7470,2,-3,2,-4,MS系／連邦軍・ティターンズ・地球連合
4641,ハーマン専用61式戦車5型,0,185,20,26,62,200,20,0,30,0,30,30,5,－,Ｓ,19,3360,4,-5,-5,-4,連邦軍・ティターンズ・地球連合／専用機／車輌・戦闘機系
4642,ガッデス(精霊憑依),0,540,85,90,85,570,28,370,370,300,270,270,200,NT7,Ｍ,54,254000,1,5,0,1,その他／バンプレストオリジナル
4643,グランヴェール(精霊憑依),0,530,70,115,70,620,28,370,390,300,270,270,200,NT7,Ｍ,56,254000,4,-3,3,1,その他／バンプレストオリジナル
4644,サイバスター(精霊憑依),0,580,78,135,80,570,28,390,390,370,370,270,200,NT9,Ｍ,57,290000,2,-2,2,6,その他／バンプレストオリジナル
4645,ゼルヴォイド(精霊憑依),0,700,100,120,80,500,28,420,420,400,400,400,200,NT7,Ｍ,68,362000,2,-2,2,5,その他／バンプレストオリジナル
4646,ヴァルヴレイヴI,0,440,42,100,82,380,19,270,250,200,230,180,220,強3,Ｍ,50,47800,1,-3,3,3,その他／スパロボシリーズ
4647,ヴァルヴレイヴIII,0,440,42,95,82,380,27,270,250,230,200,180,1,強3,Ｍ,50,41800,1,-3,3,3,その他／スパロボシリーズ
4648,ゲシュテルベン,0,325,32,82,90,400,21,300,300,250,235,235,60,－,Ｍ,44,19200,3,0,4,1,その他／バンプレストオリジナル
4649,黒い稲妻旅団仕様バーグラリードッグ,0,250,14,75,88,300,10,200,200,200,200,200,10,－,ＳＳ,34,1500,5,-5,-5,-5,その他／ボトムズシリーズ
4650,ライバード,0,280,24,72,48,400,10,180,180,160,140,100,50,－,Ｓ,32,5700,4,-4,-2,0,その他／スパロボシリーズ
4651,村雨改,0,300,49,45,39,400,118,90,165,105,155,60,1,－,ＬＬ,43,19530,0,3,-9,-5,艦船系／人系／艦これ
4652,トーマ仕様ディバイソン,0,520,55,70,80,480,56,175,215,155,190,190,110,－,Ｍ,66,40000,5,-3,-6,-1,その他／ゾイドシリーズ／スパロボシリーズ
4653,神機使い男,0,60,10,56,60,300,10,200,200,280,200,200,150,NT1,ＳＳ,24,110000,4,-6,-6,-4,人系
4654,神機使い女,0,60,10,56,60,300,10,200,200,200,200,280,150,NT1,ＳＳ,24,110000,4,-6,-6,4,人系
4655,ジオン公国軍兵士,0,20,2,13,40,100,5,0,0,0,0,0,1,－,ＳＳ,10,300,1,-4,-5,1,ジオン・ネオジオン軍・ザフト／機動戦士ガンダム／ポケットの中の戦争／第08MS小隊／人系／量産機
4656,地球連邦軍兵士,0,20,2,15,40,100,5,0,0,0,0,0,1,－,ＳＳ,10,300,1,-4,-6,-4,連邦軍・ティターンズ・地球連合／機動戦士ガンダム／ポケットの中の戦争／第08MS小隊／人系／量産機
4657,カノン,0,80,12,52,60,300,10,280,280,0,240,280,548,－,ＳＳ,24,294932,4,-6,-6,-4,人系
4658,ランスロット・グレイル,0,345,37,92,50,400,15,250,300,320,250,200,50,－,Ｓ,36,31000,3,-4,-4,-5,その他／コードギアス／専用機
4659,木曾改二,0,440,65,45,49,500,162,60,120,65,95,50,200,－,ＬＬ,53,67060,0,3,-9,-4,艦船系／人系／艦これ
4660,ルチアナ,0,170,18,62,75,200,8,130,140,300,350,300,1,NT8,ＳＳ,20,99200,1,-4,-5,5,人系
4661,マルチナ,0,160,14,70,50,200,8,130,140,300,350,300,1,NT8,ＳＳ,20,99200,1,-4,-5,5,人系
4662,フェルナンディア,0,200,16,65,65,230,8,130,140,300,350,300,1,NT8,ＳＳ,21,110000,1,-4,-4,5,人系
4663,シャクヤク,0,930,52,30,90,930,200,270,270,200,200,200,100,－,ＬＬ,102,326000,-6,0,2,1,艦船系／スパロボシリーズ
4664,ガンヘッド,0,420,50,60,80,350,10,280,280,180,180,180,50,－,Ｓ,30,18010,4,-6,-6,-5,スパロボシリーズ／車輌・戦闘機系／量産機
4665,ガンヘッド(TM) ,1,420,50,50,80,350,10,280,280,180,180,180,50,－,Ｓ,30,0,4,-6,-6,-5,スパロボシリーズ／車輌・戦闘機系／量産機
4666,ゲッターキリク ,1,700,63,105,60,950,80,300,300,270,280,260,50,－,Ｌ,70,0,4,-5,0,0,その他／スパロボシリーズ
4667,古代ゲッター2 ,1,840,61,90,60,990,50,400,400,370,380,360,60,－,Ｌ,87,0,6,-5,0,-5,その他／スパロボシリーズ
4668,ガンノウズ,0,70,11,31,40,250,10,300,300,300,300,300,100,－,ＳＳ,16,12000,4,-2,0,-2,その他
4669,サンジューロ,0,90,9,37,30,250,10,300,300,300,300,300,100,－,ＳＳ,16,12000,4,-2,0,-2,その他
4670,アリサ,0,75,16,72,65,300,10,300,300,250,250,200,200,NT3,ＳＳ,25,348500,4,-6,-6,-5,人系
4671,クリスマス仕様那珂,0,260,29,38,39,500,162,70,120,65,120,60,1,－,ＬＬ,43,40060,0,3,-9,-4,艦船系／人系／艦これ
4672,まるゆ,0,60,9,9,9,150,41,5,0,0,0,35,1,－,ＬＬ,24,7530,0,5,-9,-5,艦船系／人系／艦これ
4673,あきつ丸,0,380,33,15,13,500,152,30,0,65,0,50,1,－,ＬＬ,44,40060,0,4,-9,-5,艦船系／人系／艦これ
4674,あきつ丸改,0,400,43,17,59,500,152,160,0,75,0,85,1,－,ＬＬ,49,64060,0,4,-9,-5,艦船系／人系／艦これ
4675,伊401,0,200,24,13,45,700,122,10,195,0,0,100,200,－,ＬＬ,46,19530,0,6,-9,-5,艦船系／人系／艦これ
4676,大鳳,0,670,79,33,74,500,260,305,0,220,0,10,300,－,ＬＬ,63,168590,0,3,-9,-3,艦船系／人系／艦これ
4677,大鳳改,0,700,84,34,77,500,260,318,0,295,0,20,200,－,ＬＬ,64,222590,0,3,-9,-3,艦船系／人系／艦これ
4678,イオナ,0,700,60,25,120,1400,122,500,550,200,0,250,500,強5,ＬＬ,102,1604000,-5,4,-9,-5,艦船系／人系／艦これ／スパロボシリーズ
4679,タカオ,0,770,90,20,140,800,203,600,300,250,0,100,500,強5,ＬＬ,86,2130000,-5,3,-9,-4,艦船系／人系／艦これ／スパロボシリーズ
4680,ハルナ,0,1020,110,18,160,800,214,675,0,300,0,150,500,強5,ＬＬ,97,2190000,-5,3,-9,-3,艦船系／人系／艦これ／スパロボシリーズ
4681,静夏,0,180,20,55,50,225,8,130,140,200,250,200,1,NT8,ＳＳ,23,96500,1,-4,-5,5,人系
4682,ハイデマリー,0,180,18,73,53,225,8,140,150,300,350,300,1,NT8,ＳＳ,25,200000,1,-4,-5,5,人系
4683,ニッカ,0,210,14,62,60,225,8,140,150,300,350,300,1,NT8,ＳＳ,25,200000,1,-4,-5,5,人系
4684,パーフェクトダイテイオー,0,700,50,73,65,700,50,300,300,250,250,200,1,－,Ｌ,68,150500,2,-4,1,3,その他／勇者・エルドランシリーズ
4685,YF-29 デュランダル,0,450,46,127,115,480,22,220,250,220,220,220,150,－,Ｍ,60,76000,-2,-2,6,6,マクロスシリーズ／車輌・戦闘機系
4686,YF-29 デュランダル(G) ,1,450,42,116,115,480,22,220,250,220,220,220,150,－,Ｓ,60,0,1,-2,1,-5,その他／マクロスシリーズ
4687,YF-29 デュランダル(B) ,1,450,51,107,95,480,22,220,250,220,220,220,150,－,Ｍ,60,0,5,-5,3,-2,その他／マクロスシリーズ
4688,プロトセイバー+11,0,435,46,92,80,534,18,300,350,200,250,230,100,強5,Ｍ,50,34660,2,-4,3,2,MS系／ガンダム系／ジオン・ネオジオン軍・ザフト／ガンダムSEED ASTRAY、MSV
4689,プロトセイバー+11(MA) ,1,435,46,97,80,534,18,300,350,200,250,230,100,強5,Ｍ,50,0,-6,-5,6,5,MA系／ガンダム系／ジオン・ネオジオン軍・ザフト／ガンダムSEED ASTRAY、MSV
4690,EW仕様トールギス,0,448,40,93,75,551,17,250,240,230,240,210,50,－,Ｍ,39,14910,1,-4,1,3,MS系／新機動戦記ガンダムW
4691,ダイオン,0,345,34,68,42,380,28,180,180,180,120,100,10,NT1,Ｍ,25,8400,2,-5,0,3,その他／バンプレストオリジナル
4692,スヴェンド,0,355,34,67,70,425,28,180,180,180,180,180,70,NT2,Ｍ,32,14400,4,-2,0,0,その他／バンプレストオリジナル
4693,リュデル,0,370,34,77,62,420,28,220,220,200,180,180,80,NT3,Ｍ,34,18000,4,-2,0,2,その他／バンプレストオリジナル
4694,エスフィード,0,340,32,76,70,420,28,180,180,100,160,160,70,NT2,Ｍ,32,13500,2,-5,0,5,その他／バンプレストオリジナル
4695,アンビロウム,0,950,42,74,80,780,42,300,300,280,240,120,180,NT5,Ｌ,73,254000,3,-5,2,2,その他／バンプレストオリジナル
4696,ゲシュペンストMk-II・タイプSA改,0,372,32,90,80,300,21,300,320,310,250,250,20,－,Ｍ,55,20800,3,-1,4,2,その他／バンプレストオリジナル
4697,量産型ゲシュペンストMk-II改・タイプC,0,390,51,71,85,300,25,280,280,235,250,250,20,－,Ｍ,42,20800,3,0,2,0,その他／バンプレストオリジナル／量産機
4698,テイタニア専用エルドスピーネ,0,275,19,75,60,320,10,250,250,200,200,0,30,強5,Ｓ,36,2160,5,-5,-5,-5,その他／専用機／ボトムズシリーズ
4699,スネークソード仕様Gサイフォス,0,396,35,82,66,340,18,220,220,215,185,40,10,－,Ｍ,28,12000,2,-4,2,-4,MS系／ガンダムAGE
4700,ビルドストライク,0,480,45,62,60,450,30,200,220,100,120,80,120,－,Ｍ,42,19500,3,-4,3,1,MS系／ガンダム系／ガンダムビルドシリーズ
4701,ビルドストライクFP,0,504,45,75,60,450,30,200,220,100,120,80,30,－,Ｍ,43,31000,3,-4,3,2,MS系／ガンダム系／ガンダムビルドシリーズ
4702,ドルチェノフ専用ギルガザムネ,0,800,58,80,92,730,28,250,260,190,190,160,80,－,Ｌ,75,110000,5,0,0,1,その他／専用機／スパロボシリーズ
4703,ラビリス,0,100,12,60,40,900,20,300,300,300,200,100,100,強5,ＳＳ,40,620000,3,-5,-5,-4,人系
4704,グルンガスト弐式(2号機),0,650,52,55,60,630,80,300,300,300,300,300,20,NT5,Ｌ,55,57400,4,-3,3,-1,その他／バンプレストオリジナル
4705,Gホーク(2号機) ,1,650,46,75,60,630,80,300,300,300,300,300,20,NT5,Ｌ,55,0,-5,-5,3,5,その他／バンプレストオリジナル
4706,プファイルIII,0,404,40,87,70,345,21,300,300,120,300,300,80,－,Ｍ,39,20200,3,-3,3,2,その他／バンプレストオリジナル
4707,セレーナ仕様ゲシュテルベン改,0,345,32,92,90,400,22,400,300,300,250,235,70,－,Ｍ,51,21400,3,0,4,3,その他／専用機／バンプレストオリジナル
4708,AGE-3フォートレス,0,498,52,94,70,636,19,185,185,150,190,110,60,－,Ｍ,59,28720,4,-4,-4,-4,MS系／ガンダム系／ガンダムAGE
4709,那珂改二,0,480,68,42,54,500,162,110,140,120,325,65,200,－,ＬＬ,55,52060,0,3,-9,-4,艦船系／人系／艦これ
4710,ディーン専用陸戦高機動型ザク,0,282,21,56,45,312,18,30,50,50,30,30,5,－,Ｍ,28,6750,3,-4,-5,-4,MS系／ザク系／ジオン・ネオジオン軍・ザフト／専用機
4711,ザク・ハーフキャノン,0,220,18,32,45,235,17,0,30,0,0,30,80,－,Ｍ,21,6570,3,-5,-5,-3,MS系／ザク系／ジオン・ネオジオン軍・ザフト／MSV(モビルスーツバリエーション)／量産機
4712,ジム・ガードカスタム,0,296,30,52,60,326,18,50,50,0,0,0,90,－,Ｍ,28,7680,2,-3,2,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合
4713,寒冷地仕様ジム(大型クロー装備),0,282,26,48,53,312,18,0,20,30,40,0,30,－,Ｍ,19,6930,2,-3,2,-4,MS系／ジム系／連邦軍・ティターンズ・地球連合
4714,ブロディア・ライアット,0,370,40,80,58,350,15,180,190,190,140,140,30,－,Ｍ,35,5520,3,-1,3,2,その他／スパロボシリーズ
4715,弥生,0,130,18,37,17,450,102,30,90,35,80,50,1,－,ＬＬ,34,18030,0,3,-9,-5,艦船系／人系／艦これ
4716,卯月,0,130,18,37,17,450,102,30,90,35,80,50,1,－,ＬＬ,34,18030,0,3,-9,-5,艦船系／人系／艦これ
4717,シラヌイ,0,500,5,25,150,400,80,250,250,200,200,200,1,－,ＬＬ,38,12000,-3,-4,1,-3,艦船系／スパロボシリーズ
4718,カゲロウ,0,500,5,25,150,400,80,250,250,200,200,200,1,－,ＬＬ,38,12000,-3,-4,1,-3,艦船系／スパロボシリーズ
4719,ツルギ,0,550,5,20,120,500,80,200,250,200,200,200,1,－,ＬＬ,42,13800,-3,-4,2,-3,艦船系／スパロボシリーズ
4720,ヤクモ,0,550,5,20,120,500,80,200,250,200,200,200,1,－,ＬＬ,42,13800,-3,-4,2,-3,艦船系／スパロボシリーズ
4721,コスモゼロα2,0,180,18,85,65,370,9,180,180,185,185,180,40,－,Ｍ,39,18000,-4,-5,4,4,スパロボシリーズ／車輌・戦闘機系
4722,袖付き仕様ドーベン・ウルフ,0,480,59,118,60,478,22,190,200,170,200,0,30,－,Ｍ,39,57100,2,-3,2,-4,MS系／ジオン・ネオジオン軍・ザフト／ガンダムUC
4723,デュナメスリペア,0,376,42,84,68,395,24,180,180,0,180,180,5,－,Ｍ,38,14520,2,-4,2,1,MS系／ガンダム系／ガンダム00
4724,衛人,0,405,28,65,55,500,20,300,300,200,250,250,40,強3,Ｍ,29,5700,0,-2,3,-5,その他／スパロボシリーズ
4725,ライトニングサイクス,0,410,55,100,70,580,20,280,300,230,270,240,80,－,Ｍ,61,19200,6,-3,-5,1,その他／ゾイドシリーズ／スパロボシリーズ
4726,ネロ・ブライド,0,90,10,110,70,990,10,420,235,730,530,760,154,－,ＳＳ,40,500000,5,0,-6,-4,人系
4727,デスビースト,0,313,25,60,60,393,17,30,30,35,35,0,30,－,Ｍ,34,8250,3,-3,-5,-5,MS系／機動武闘伝Gガンダム／量産機
